,taxonomy,category,label
0,general,genre,acid
1,general,genre,alternative
2,general,genre,americana
3,general,genre,bebop
4,general,genre,big_band
5,general,genre,big_beat
6,general,genre,blues
7,general,genre,boogie_woogie
8,general,genre,bossa_nova
9,general,genre,breakbeat
10,general,genre,brit_rock
11,general,genre,broadway
12,general,genre,cajun
13,general,genre,caribbean
14,general,genre,celtic
15,general,genre,cha_cha
16,general,genre,classic_rock
17,general,genre,classical
18,general,genre,club
19,general,genre,country
20,general,genre,dance
21,general,genre,dancehall
22,general,genre,deep_house
23,general,genre,detroit
24,general,genre,disco
25,general,genre,dixieland
26,general,genre,doo_wop
27,general,genre,drum_&_bass
28,general,genre,"drums,_percussion"
29,general,genre,dubstep
30,general,genre,easy_listening
31,general,genre,edm
32,general,genre,electro
33,general,genre,electronic
34,general,genre,emo
35,general,genre,ethnic
36,general,genre,family_adventure
37,general,genre,flamenco
38,general,genre,folk
39,general,genre,funk
40,general,genre,fusion
41,general,genre,future_house
42,general,genre,garage
43,general,genre,glitch_hop
44,general,genre,go_go
45,general,genre,gospel
46,general,genre,gothic
47,general,genre,grunge
48,general,genre,gypsy_jazz
49,general,genre,hard_rock
50,general,genre,hardcore
51,general,genre,heavy_metal
52,general,genre,hip_hop
53,general,genre,house
54,general,genre,hybrid
55,general,genre,indie
56,general,genre,jazz
57,general,genre,kitsch
58,general,genre,klezmer
59,general,genre,latin
60,general,genre,lounge
61,general,genre,mambo
62,general,genre,mariachi
63,general,genre,merengue
64,general,genre,motown
65,general,genre,muzak
66,general,genre,neo_classical
67,general,genre,neo_soul
68,general,genre,orchestral
69,general,genre,pop
70,general,genre,post_rock
71,general,genre,punk
72,general,genre,r&_b
73,general,genre,ragtime
74,general,genre,rap
75,general,genre,rave
76,general,genre,reggae
77,general,genre,reggaeton
78,general,genre,rock
79,general,genre,rockabilly
80,general,genre,salsa
81,general,genre,samba
82,general,genre,score
83,general,genre,singer_songwriter
84,general,genre,ska
85,general,genre,soca
86,general,genre,soul
87,general,genre,sound_design
88,general,genre,sound_effects
89,general,genre,southern
90,general,genre,surf
91,general,genre,swing
92,general,genre,tango
93,general,genre,techno
94,general,genre,top_40
95,general,genre,traditional
96,general,genre,trance
97,general,genre,trap
98,general,genre,trip_hop
99,general,genre,tropical
100,general,genre,twerk
101,general,genre,urban
102,general,genre,western
103,general,genre,world
104,general,moods_positive,achievement
105,general,moods_positive,allure
106,general,moods_positive,amazement
107,general,moods_positive,angelic
108,general,moods_positive,aspirational
109,general,moods_positive,artsy
110,general,moods_positive,assured
111,general,moods_positive,awe_inspiring
112,general,moods_positive,awesome
113,general,moods_positive,beautiful
114,general,moods_positive,bittersweet
115,general,moods_positive,brave
